,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,rating
0,Italy,"Scents of citrus blossom, honey, sea breeze and a potpourri of aromatic herb are some of the aromas in this stunning, single-vineyard Vermentino. Fresh and round, it's loaded with finesse and complexity, seamlessly delivering layers of flavor that include citrus zest, ripe yellow apple, lemon-thyme, wild rosemary, mineral and toasted almond.",Santigaini,94,157.0,Sicily & Sardinia,Isola dei Nuraghi,,Kerin O’Keefe,@kerinokeefe,Capichera 2011 Santigaini Vermentino (Isola dei Nuraghi),Vermentino,Capichera,High
1,Italy,"A blend of Sangiovese, Merlot and Cabernet, this shows weight on the palate, and it offers velvety tannins and bright fruit and spicy flavors. The aromatic delivery is immediate and clean.",Guidaccio,91,44.0,Tuscany,Toscana,,,,Marchesi Torrigiani 2006 Guidaccio Red (Toscana),Red Blend,Marchesi Torrigiani,High
2,Austria,A terroir-driven wine from poor soil in one of the great Wachau vineyards. It's possible to taste the stone and the steely character from the green fruit. This is a wine that needs aging; don't drink before 2013.,Weissenkirchner Achleiten Smaragd,94,67.0,Wachau,,,Roger Voss,@vossroger,Rudi Pichler 2006 Weissenkirchner Achleiten Smaragd Riesling (Wachau),Riesling,Rudi Pichler,High
3,US,"This edition of The Creator is a one-time only mix of 43% Cabernet Sauvignon from Stoneridge, 21% Cabernet from Cailloux, and 36% Syrah from Morrison Lane. It's edgy and tight, with sharply defined corners—herbal, with a leafy/stemmy note, well-integrated into wild, brambly berry fruits. The 50% new oak is virtually invisible at this point; it fills out the mouthfeel but does not show specifically.",The Creator,95,55.0,Washington,Washington,Washington Other,Paul Gregutt,@paulgwine ,K Vintners 2008 The Creator Red (Washington),Red Blend,K Vintners,High
4,US,"Better known for Cabernet, Ballentine brings a deft hand to their Block 9 Zin, which has earned high scores for years. The vineyard is in Calistoga, and the warmth has coaxed out intricate flavors of wild red and black berries and cherries, mocha, herbs and spices, with a distinct black pepper note. The tannins are thick, but very fine. Among the top Napa Zins, this wine will age for a decade or longer.",Block 9 Reserve,93,29.0,California,Napa Valley,Napa,,,Ballentine 2004 Block 9 Reserve Zinfandel (Napa Valley),Zinfandel,Ballentine,High
5,US,"A meaty, gamy Syrah boasting aromas of bacon and duck-liver mousse, this wine delivers tremendous flavor and quality for the price. It offers plenty of body around a core of plush, savory tannins and a long finish of pepper and cinnamon spice. Start slicing the charcuterie.",Made With Organically Grown Grapes,92,20.0,California,Sierra Foothills,Sierra Foothills,Virginie Boone,@vboone,Chacewater 2011 Made With Organically Grown Grapes Syrah (Sierra Foothills),Syrah,Chacewater,High
6,US,"With dusty gravel at its mineral core, this Cabernet Sauvignon layers rich red currant, cassis and clove flavors, suggesting French toast drizzled with compote. It has a juicy midpalate and a lingering finish that reverberates toasted, spicy oak.",,92,62.0,California,Alexander Valley,Sonoma,Virginie Boone,@vboone,Aperture 2014 Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Aperture,High
7,US,"An ambitious Cabernet that's part of Raymond's program of highlighting individual appellations within Napa Valley. This wine is delicious, exhibiting rich, deep flavors of black currants with tasteful accents of oak. While it's fine to drink now, the tannins and long finish suggest up to eight years in the cellar will be beneficial.",District Collection,93,75.0,California,St. Helena,Napa,,,Raymond 2009 District Collection Cabernet Sauvignon (St. Helena),Cabernet Sauvignon,Raymond,High
8,US,"All varietal, this blend of fruit from seven vineyards across the valley shows nuances of cocoa, earth, coffee, herbs and cherry. There's a lot of generosity and midpalate depth to the flavors along with a sense of balance that carries through the finish.",,91,40.0,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,L'Ecole No. 41 2012 Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,L'Ecole No. 41,High
9,US,"This is actually a 100% varietal Cabernet Sauvignon from the producer's estate, and a selection of the winemaker's three favorite barrels of the vintage that fit best together. It is also the first release of the wine, made to honor the winery's 10th anniversary. Savory and high-toned in acidity, it masters a tartness of currant, cranberry and clove while integrating a soft, lean lushness of black cherry, the whole succulent and complex.",Terraces,94,150.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Boeschen Vineyards 2013 Terraces Red (Napa Valley),Bordeaux-style Red Blend,Boeschen Vineyards,High
